Code,Description,Type,Package/Line_Level,Gross charge,Discounted cash price,De-identified min contracted rate,De-identified max contracted rate,Derived contracted rate,AETNA-Commercial HMO/POS,AETNA-Commercial PPO/Open Access,AETNA-Medicare Advantage HMO,CONNECTICARE-Commercial HMO/POS,EMBLEMHEALTH-Commercial HMO/POS,EMBLEMHEALTH-Medicare Advantage HMO,EMBLEMHEALTH-Commercial PPO/Open Access,BLUE CROSS-Commercial HMO/POS,BLUE CROSS-Commercial PPO/Open Access,BLUE CROSS-Medicare Advantage HMO,HandM-Commercial HMO/POS,HEALTHFIRST-Commercial HMO/POS,BLUE CROSS-Medicaid HMO,UNITED HEALTHCARE-Commercial HMO/POS,UNITED HEALTHCARE-Medicare Advantage HMO,INTEGRATED HEALTH-Commercial HMO/POS,MOLINA-Medicaid HMO,TUFTS HEALTH-Commercial HMO/POS,UNITED HEALTHCARE-Commercial PPO/Open Access,UNITED HEALTHCARE-Medicaid HMO
11045,"REMOVAL OF SKIN AND TISSUE, EACH ADDITIONAL 20.0 SQ CM OR LESS",Outpatient,Line,1881.86,1881.86,1437.75,1437.75,1437.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1437.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11104,"PUNCH BIOPSY, FIRST SKIN GROWTH",Outpatient,Line,779.00,779,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11104,"PUNCH BIOPSY, FIRST SKIN GROWTH",Outpatient,Package,1168.00,1168,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11105,"PUNCH BIOPSY, EACH ADDITIONAL SKIN GROWTH",Outpatient,Line,389.00,389,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11406,"REMOVAL OF NONCANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, MORE THAN 4.0 CM",Outpatient,Line,3537.73,3537.73,1688.58,5127.00,3407.79,N/A,N/A,1688.58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5127.00,N/A,N/A,N/A,N/A,N/A,N/A
11406,"REMOVAL OF NONCANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, MORE THAN 4.0 CM",Outpatient,Package,4046.95,4046.95,1688.58,5127.00,3407.79,N/A,N/A,1688.58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5127.00,N/A,N/A,N/A,N/A,N/A,N/A
11740,REMOVAL OF BLOOD ACCUMULATION UNDER FINGERNAIL OR TOENAIL,Outpatient,Line,277.00,277,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11740,REMOVAL OF BLOOD ACCUMULATION UNDER FINGERNAIL OR TOENAIL,Outpatient,Package,1649.00,1649,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11771,EXTENSIVE REMOVAL OF CYST OF TAILBONE,Outpatient,Line,5541.55,5541.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11771,EXTENSIVE REMOVAL OF CYST OF TAILBONE,Outpatient,Package,6693.84,6693.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12001,"SIMPLE REPAIR OF SURFACE WOUND OF SCALP, NECK, UNDERARMS, TRUNK, ARMS, OR LEGS, 2.5 CM OR LESS",Outpatient,Line,563.75,563.75,527.88,527.88,527.88,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,527.88,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12001,"SIMPLE REPAIR OF SURFACE WOUND OF SCALP, NECK, UNDERARMS, TRUNK, ARMS, OR LEGS, 2.5 CM OR LESS",Outpatient,Package,563.75,563.75,527.88,527.88,527.88,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,527.88,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12002,"SIMPLE REPAIR OF SURFACE WOUND OF SCALP, NECK, UNDERARMS, TRUNK, ARMS, OR LEGS, 2.6-7.5 CM",Outpatient,Line,588.47,588.47,84.93,574.00,397.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84.93,N/A,N/A,N/A,532.81,N/A,574.00,N/A,N/A,N/A,N/A,N/A,N/A
12002,"SIMPLE REPAIR OF SURFACE WOUND OF SCALP, NECK, UNDERARMS, TRUNK, ARMS, OR LEGS, 2.6-7.5 CM",Outpatient,Package,588.47,588.47,84.93,574.00,397.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84.93,N/A,N/A,N/A,532.81,N/A,574.00,N/A,N/A,N/A,N/A,N/A,N/A
12004,"SIMPLE REPAIR OF SURFACE WOUND OF SCALP, NECK, UNDERARMS, TRUNK, ARMS, OR LEGS, 7.6-12.5 CM",Outpatient,Line,570.28,570.28,85.69,85.69,85.69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85.69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12004,"SIMPLE REPAIR OF SURFACE WOUND OF SCALP, NECK, UNDERARMS, TRUNK, ARMS, OR LEGS, 7.6-12.5 CM",Outpatient,Package,570.28,570.28,85.69,85.69,85.69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85.69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12005,"SIMPLE REPAIR OF SURFACE WOUND OF SCALP, NECK, UNDERARMS, TRUNK, ARMS, OR LEGS, 12.6-20.0 CM",Outpatient,Line,572.00,572,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12005,"SIMPLE REPAIR OF SURFACE WOUND OF SCALP, NECK, UNDERARMS, TRUNK, ARMS, OR LEGS, 12.6-20.0 CM",Outpatient,Package,11440.18,11440.18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12011,"SIMPLE REPAIR OF SURFACE WOUND OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 2.5 CM OR LESS",Outpatient,Line,590.06,590.06,530.35,530.35,530.35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,530.35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12011,"SIMPLE REPAIR OF SURFACE WOUND OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 2.5 CM OR LESS",Outpatient,Package,590.06,590.06,530.35,530.35,530.35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,530.35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12013,"SIMPLE REPAIR OF SURFACE WOUND OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 2.6-5.0 CM",Outpatient,Line,943.59,943.59,527.88,527.88,527.88,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,527.88,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12013,"SIMPLE REPAIR OF SURFACE WOUND OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 2.6-5.0 CM",Outpatient,Package,943.59,943.59,527.88,527.88,527.88,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,527.88,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12031,"INTERMEDIATE REPAIR OF WOUND OF SCALP, UNDERARMS, TRUNK, ARMS, OR LEGS, 2.5 CM OR LESS",Outpatient,Line,599.20,599.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12031,"INTERMEDIATE REPAIR OF WOUND OF SCALP, UNDERARMS, TRUNK, ARMS, OR LEGS, 2.5 CM OR LESS",Outpatient,Package,8700.20,8700.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12032,"INTERMEDIATE REPAIR OF WOUND OF SCALP, UNDERARMS, TRUNK, ARMS, OR LEGS, 2.6-7.5 CM",Outpatient,Line,582.28,582.28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12032,"INTERMEDIATE REPAIR OF WOUND OF SCALP, UNDERARMS, TRUNK, ARMS, OR LEGS, 2.6-7.5 CM",Outpatient,Package,582.28,582.28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12034,"INTERMEDIATE REPAIR OF WOUND OF SCALP, UNDERARMS, TRUNK, ARMS, OR LEGS, 7.6-12.5 CM",Outpatient,Line,735.00,735,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12034,"INTERMEDIATE REPAIR OF WOUND OF SCALP, UNDERARMS, TRUNK, ARMS, OR LEGS, 7.6-12.5 CM",Outpatient,Package,8931.90,8931.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12041,"INTERMEDIATE REPAIR OF WOUND OF NECK, HANDS, FEET, OR GENITALS, 2.5 CM OR LESS",Outpatient,Line,159.00,159,768.31,768.31,768.31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,768.31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12041,"INTERMEDIATE REPAIR OF WOUND OF NECK, HANDS, FEET, OR GENITALS, 2.5 CM OR LESS",Outpatient,Package,1537.00,1537,768.31,768.31,768.31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,768.31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12042,"INTERMEDIATE REPAIR OF WOUND OF NECK, HANDS, FEET, OR GENITALS, 2.6-7.5 CM",Outpatient,Line,622.77,622.77,785.68,785.68,785.68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,785.68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12042,"INTERMEDIATE REPAIR OF WOUND OF NECK, HANDS, FEET, OR GENITALS, 2.6-7.5 CM",Outpatient,Package,622.77,622.77,785.68,785.68,785.68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,785.68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12052,"INTERMEDIATE REPAIR OF WOUND OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 2.6-5.0 CM",Outpatient,Line,683.58,683.58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12052,"INTERMEDIATE REPAIR OF WOUND OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 2.6-5.0 CM",Outpatient,Package,3614.42,3614.42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13121,"COMPLICATED REPAIR OF WOUND OF SCALP, ARMS, OR LEGS, 2.6-7.5 CM",Outpatient,Line,1162.00,1162,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13121,"COMPLICATED REPAIR OF WOUND OF SCALP, ARMS, OR LEGS, 2.6-7.5 CM",Outpatient,Package,6778.45,6778.45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13122,"COMPLICATED REPAIR OF WOUND OF SCALP, ARMS, OR LEGS, EACH ADDITIONAL 5.0 CM OR LESS",Outpatient,Line,579.95,579.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
15271,"APPLICATION OF SKIN SUBSTITUTE GRAFT TO WOUND OF TRUNK, ARMS, OR LEGS, 25.0 SQ CM OR LESS OF WOUND 100.0 SQ CM OR LESS",Outpatient,Line,7470.33,7470.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
15271,"APPLICATION OF SKIN SUBSTITUTE GRAFT TO WOUND OF TRUNK, ARMS, OR LEGS, 25.0 SQ CM OR LESS OF WOUND 100.0 SQ CM OR LESS",Outpatient,Package,7470.33,7470.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
15272,"APPLICATION OF SKIN SUBSTITUTE GRAFT TO WOUND OF TRUNK, ARMS, OR LEGS, EACH ADDITIONAL 25.0 SQ CM OF WOUND 100.0 SQ CM OR LESS",Outpatient,Line,751.90,751.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
15821,REMOVAL OF EXCESSIVE SKIN OF LOWER EYELID AND FAT AROUND EYE,Outpatient,Line,3992.00,3992,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
15821,REMOVAL OF EXCESSIVE SKIN OF LOWER EYELID AND FAT AROUND EYE,Outpatient,Package,4028.86,4028.86,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
15853,REMOVAL OF SUTURES OR STAPLES NOT REQUIRING ANESTHESIA (LIST SEPARATELY IN ADDITION TO E/M CODE),Outpatient,Line,160.00,160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16020,"DRESSING CHANGE OR REMOVAL OF BURN TISSUE, LESS THAN 5% OF TOTAL BODY SURFACE",Outpatient,Line,529.00,529,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16020,"DRESSING CHANGE OR REMOVAL OF BURN TISSUE, LESS THAN 5% OF TOTAL BODY SURFACE",Outpatient,Package,529.00,529,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19342,PLACEMENT OF IMPLANT ON SEPARATE DAY OF BREAST RECONSTRUCTION,Outpatient,Line,5179.00,5179,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19342,PLACEMENT OF IMPLANT ON SEPARATE DAY OF BREAST RECONSTRUCTION,Outpatient,Package,10630.46,10630.46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20103,EXPLORATION OF WOUND OF ARM OR LEG,Outpatient,Line,2556.00,2556,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20103,EXPLORATION OF WOUND OF ARM OR LEG,Outpatient,Package,5151.80,5151.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20550,INJECTION INTO TENDON OR LIGAMENT,Outpatient,Line,2140.00,2140,1701.25,1701.25,1701.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1701.25,N/A,N/A,N/A,N/A,N/A
20550,INJECTION INTO TENDON OR LIGAMENT,Outpatient,Package,2871.10,2871.1,1701.25,1701.25,1701.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1701.25,N/A,N/A,N/A,N/A,N/A
20610,ASPIRATION AND/OR INJECTION OF FLUID FROM LARGE JOINT,Outpatient,Line,1985.87,1985.87,313.55,2476.72,1701.03,2312.82,N/A,313.55,N/A,N/A,N/A,N/A,2476.72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20610,ASPIRATION AND/OR INJECTION OF FLUID FROM LARGE JOINT,Outpatient,Package,1994.30,1994.3,313.55,2476.72,1701.03,2312.82,N/A,313.55,N/A,N/A,N/A,N/A,2476.72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20680,REMOVAL OF DEEP IMPLANT FROM BONE,Outpatient,Line,7445.60,7445.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20680,REMOVAL OF DEEP IMPLANT FROM BONE,Outpatient,Package,7467.84,7467.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
22514,TREATMENT OF BROKEN LOWER SPINE BONE WITH PLACEMENT OF STABILIZING DEVICE,Outpatient,Line,2804.00,2804,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
22514,TREATMENT OF BROKEN LOWER SPINE BONE WITH PLACEMENT OF STABILIZING DEVICE,Outpatient,Package,2824.54,2824.54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
23410,REPAIR OF ACUTE TORN SHOULDER ROTATOR CUFF,Outpatient,Line,8739.00,8739,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
23410,REPAIR OF ACUTE TORN SHOULDER ROTATOR CUFF,Outpatient,Package,10248.64,10248.64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
23430,ANCHORING OF BICEPS TENDON,Outpatient,Line,12299.00,12299,100.00,100.00,100.00,100.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
23430,ANCHORING OF BICEPS TENDON,Outpatient,Package,13888.16,13888.16,100.00,100.00,100.00,100.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
23515,TREATMENT OF BROKEN COLLAR BONE,Outpatient,Line,6365.00,6365,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
23515,TREATMENT OF BROKEN COLLAR BONE,Outpatient,Package,6396.80,6396.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
23650,CLOSED TREATMENT OF DISLOCATED SHOULDER WITH MANIPULATION,Outpatient,Line,633.45,633.45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
23650,CLOSED TREATMENT OF DISLOCATED SHOULDER WITH MANIPULATION,Outpatient,Package,23580.25,23580.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24675,CLOSED TREATMENT OF BROKEN FOREARM BONE ON SMALL FINGER SIDE AT ELBOW WITH MANIPULATION,Outpatient,Line,1715.00,1715,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24675,CLOSED TREATMENT OF BROKEN FOREARM BONE ON SMALL FINGER SIDE AT ELBOW WITH MANIPULATION,Outpatient,Package,10639.05,10639.05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
25565,CLOSED TREATMENT OF BROKEN MIDPART OF BOTH FOREARM BONES WITH MANIPULATION,Outpatient,Line,631.30,631.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
25565,CLOSED TREATMENT OF BROKEN MIDPART OF BOTH FOREARM BONES WITH MANIPULATION,Outpatient,Package,7669.95,7669.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
25605,CLOSED TREATMENT OF BROKEN OR GROWTH PLATE SEPARATE OF FOREARM BONE AT WRIST WITH MANIPULATION,Outpatient,Line,677.93,677.93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
