Code,Description,Type,Package/Line_Level,Gross charge,Discounted cash price,De-identified min contracted rate,De-identified max contracted rate,Derived contracted rate,1199-Commercial other,Aetna-Medicare Advantage HMO,Aetna-Commercial HMO/POS,Aetna-Commercial PPO/Open Access,Aetna-Commercial other,Empire Health-Commercial other,Empire Health-Commercial PPO/Open Access,BlueCross BlueShield-Commercial other,Beacon Health-Commercial other,Carelon Health-Commercial other,Cigna-Commercial PPO/Open Access,Cigna-Commercial other,Cigna-Commercial HMO/POS,EH Facet-Commercial other,EmblemHealth-Commercial PPO/Open Access,EmblemHealth-Commercial other,EmblemHealth-Commercial HMO/POS,EmblemHealth-Medicaid HMO,EmblemHealth-Medicare Advantage HMO,Empire Health-Commercial HMO/POS,Empire Health-Medicare Advantage HMO,Empire Health-Medicaid HMO,Evernorth-Commercial other,Fidelis-Commercial other,Fidelis-Medicare Advantage HMO,Fidelis-Medicaid HMO,GHI-Commercial other,HealthFirst-Commercial other,HealthFirst-Medicare Advantage HMO,HealthFirst-Medicaid HMO,HealthPlus HP-Medicaid HMO,HealthPlus HP-Commercial other,HealthPlus HP-Medicare Advantage HMO,Humana-Commercial other,Humana-Commercial HMO/POS,Humana-Commercial PPO/Open Access,Meritain Health-Commercial other,Molina-Commercial other,Optum-Commercial other,Oxford-Commercial other,Oxford-Commercial HMO/POS,Tricare-Commercial other,United Healthcare-Commercial other,United Healthcare-Medicare Advantage HMO,United Healthcare-Commercial HMO/POS,United Healthcare-Medicaid HMO,United Healthcare-Commercial PPO/Open Access,Veteran Family-Commercial other
10121,"REMOVAL OF FOREIGN BODY FROM TISSUE, ACCESSED BENEATH THE SKIN, COMPLEX",Outpatient,Package,8447.67,8447.67,5494.79,5494.79,5494.79,N/A,N/A,N/A,N/A,N/A,N/A,5494.79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10140,DRAINAGE OF BLOOD OR FLUID ACCUMULATION,Outpatient,Line,5194.03,5194.03,686.74,6050,2677.26,N/A,N/A,N/A,N/A,N/A,6050,4162.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,709.12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1778.38,N/A,N/A,686.74,N/A,N/A
10140,DRAINAGE OF BLOOD OR FLUID ACCUMULATION,Outpatient,Package,5194.03,5194.03,686.74,6050,2677.26,N/A,N/A,N/A,N/A,N/A,6050,4162.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,709.12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1778.38,N/A,N/A,686.74,N/A,N/A
10160,"ASPIRATION OF ABSCESS, BLOOD, OR CYST",Outpatient,Line,1251.06,1251.06,195,6017.59,1937.51,N/A,N/A,N/A,4592,N/A,4241,3128.25,N/A,N/A,N/A,376.69,N/A,N/A,N/A,N/A,404.99,6017.59,N/A,N/A,195,N/A,N/A,N/A,N/A,N/A,397.86,N/A,N/A,N/A,N/A,313.97,N/A,N/A,N/A,N/A,N/A,N/A,350.16,N/A,3151.33,N/A,N/A,1597.04,N/A,N/A,421.71,N/A,N/A
10160,"ASPIRATION OF ABSCESS, BLOOD, OR CYST",Outpatient,Package,1251.06,1251.06,195,6017.59,1937.51,N/A,N/A,N/A,4592,N/A,4241,3128.25,N/A,N/A,N/A,376.69,N/A,N/A,N/A,N/A,404.99,6017.59,N/A,N/A,195,N/A,N/A,N/A,N/A,N/A,397.86,N/A,N/A,N/A,N/A,313.97,N/A,N/A,N/A,N/A,N/A,N/A,350.16,N/A,3151.33,N/A,N/A,1597.04,N/A,N/A,421.71,N/A,N/A
10180,COMPLEX DRAINAGE OF WOUND INFECTION AFTER SURGERY,Outpatient,Line,3233.67,3233.67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10180,COMPLEX DRAINAGE OF WOUND INFECTION AFTER SURGERY,Outpatient,Package,11308.29,11308.29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11010,REMOVAL OF FOREIGN MATERIAL FROM SKIN AND TISSUE AT OPEN BROKEN AND/OR DISLOCATED BONE,Outpatient,Line,4815.33,4815.33,4101,4101,4101,N/A,N/A,N/A,N/A,N/A,N/A,4101,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11010,REMOVAL OF FOREIGN MATERIAL FROM SKIN AND TISSUE AT OPEN BROKEN AND/OR DISLOCATED BONE,Outpatient,Package,8752.83,8752.83,4101,4101,4101,N/A,N/A,N/A,N/A,N/A,N/A,4101,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11042,"REMOVAL OF SKIN AND TISSUE, 20.0 SQ CM OR LESS",Outpatient,Line,3033.06,3033.06,791.79,4822,2728.46,N/A,N/A,4822,N/A,N/A,4311,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,989.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,791.79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11042,"REMOVAL OF SKIN AND TISSUE, 20.0 SQ CM OR LESS",Outpatient,Package,3033.06,3033.06,791.79,4822,2728.46,N/A,N/A,4822,N/A,N/A,4311,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,989.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,791.79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11043,"REMOVAL OF MUSCLE AND/OR TISSUE, 20.0 SQ CM OR LESS",Outpatient,Line,4109.66,4109.66,601.64,3649.08,1706.07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3649.08,601.64,N/A,N/A,N/A,N/A,867.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11043,"REMOVAL OF MUSCLE AND/OR TISSUE, 20.0 SQ CM OR LESS",Outpatient,Package,4109.66,4109.66,601.64,3649.08,1706.07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3649.08,601.64,N/A,N/A,N/A,N/A,867.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11044,"REMOVAL OF BONE, 20.0 SQ CM OR LESS",Outpatient,Line,3062.42,3062.42,740.6,4782,2232.53,N/A,N/A,2411,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1612.71,N/A,740.6,N/A,N/A,N/A,N/A,1616.33,N/A,N/A,N/A,N/A,N/A,N/A,4782,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11044,"REMOVAL OF BONE, 20.0 SQ CM OR LESS",Outpatient,Package,3062.42,3062.42,740.6,4782,2232.53,N/A,N/A,2411,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1612.71,N/A,740.6,N/A,N/A,N/A,N/A,1616.33,N/A,N/A,N/A,N/A,N/A,N/A,4782,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11045,"REMOVAL OF SKIN AND TISSUE, EACH ADDITIONAL 20.0 SQ CM OR LESS",Outpatient,Line,1106.41,1106.41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11046,"REMOVAL OF MUSCLE AND/OR TISSUE, EACH ADDITIONAL 20.0 SQ CM OR LESS",Outpatient,Line,2631.6,2631.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11047,"REMOVAL OF BONE, EACH ADDITIONAL 20.0 SQ CM OR LESS",Outpatient,Line,1224,1224,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11102,"BIOPSY OF RELATED SKIN GROWTH, FIRST GROWTH",Outpatient,Line,539.84,539.84,2411,2411,2411,N/A,N/A,2411,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11102,"BIOPSY OF RELATED SKIN GROWTH, FIRST GROWTH",Outpatient,Package,976.84,976.84,2411,2411,2411,N/A,N/A,2411,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11103,"BIOPSY OF RELATED SKIN GROWTH, EACH ADDITIONAL GROWTH",Outpatient,Line,619.2,619.2,2411,2411,2411,N/A,N/A,2411,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11104,"PUNCH BIOPSY, FIRST SKIN GROWTH",Outpatient,Line,1017.57,1017.57,54.63,2375,1115.52,N/A,N/A,2296,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,892.23,N/A,N/A,N/A,N/A,397.05,N/A,N/A,N/A,N/A,N/A,N/A,54.63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2375,N/A,N/A,N/A,N/A,N/A,678.22,N/A,N/A
